t,fl_shoulder_qdes,fl_shoulder_q,fl_shoulder_qd,fl_shoulder_kp,fl_shoulder_kd,fl_shoulder_iqsp,fl_shoulder_iqmeas,fl_shoulder_tauest,fl_shoulder_vbus,fl_shoulder_ibus,fl_hip_qdes,fl_hip_q,fl_hip_qd,fl_hip_kp,fl_hip_kd,fl_hip_iqsp,fl_hip_iqmeas,fl_hip_tauest,fl_hip_vbus,fl_hip_ibus,fl_knee_qdes,fl_knee_q,fl_knee_qd,fl_knee_kp,fl_knee_kd,fl_knee_iqsp,fl_knee_iqmeas,fl_knee_tauest,fl_knee_vbus,fl_knee_ibus,fr_shoulder_qdes,fr_shoulder_q,fr_shoulder_qd,fr_shoulder_kp,fr_shoulder_kd,fr_shoulder_iqsp,fr_shoulder_iqmeas,fr_shoulder_tauest,fr_shoulder_vbus,fr_shoulder_ibus,fr_hip_qdes,fr_hip_q,fr_hip_qd,fr_hip_kp,fr_hip_kd,fr_hip_iqsp,fr_hip_iqmeas,fr_hip_tauest,fr_hip_vbus,fr_hip_ibus,fr_knee_qdes,fr_knee_q,fr_knee_qd,fr_knee_kp,fr_knee_kd,fr_knee_iqsp,fr_knee_iqmeas,fr_knee_tauest,fr_knee_vbus,fr_knee_ibus,rl_shoulder_qdes,rl_shoulder_q,rl_shoulder_qd,rl_shoulder_kp,rl_shoulder_kd,rl_shoulder_iqsp,rl_shoulder_iqmeas,rl_shoulder_tauest,rl_shoulder_vbus,rl_shoulder_ibus,rl_hip_qdes,rl_hip_q,rl_hip_qd,rl_hip_kp,rl_hip_kd,rl_hip_iqsp,rl_hip_iqmeas,rl_hip_tauest,rl_hip_vbus,rl_hip_ibus,rl_knee_qdes,rl_knee_q,rl_knee_qd,rl_knee_kp,rl_knee_kd,rl_knee_iqsp,rl_knee_iqmeas,rl_knee_tauest,rl_knee_vbus,rl_knee_ibus,rr_shoulder_qdes,rr_shoulder_q,rr_shoulder_qd,rr_shoulder_kp,rr_shoulder_kd,rr_shoulder_iqsp,rr_shoulder_iqmeas,rr_shoulder_tauest,rr_shoulder_vbus,rr_shoulder_ibus,rr_hip_qdes,rr_hip_q,rr_hip_qd,rr_hip_kp,rr_hip_kd,rr_hip_iqsp,rr_hip_iqmeas,rr_hip_tauest,rr_hip_vbus,rr_hip_ibus,rr_knee_qdes,rr_knee_q,rr_knee_qd,rr_knee_kp,rr_knee_kd,rr_knee_iqsp,rr_knee_iqmeas,rr_knee_tauest,rr_knee_vbus,rr_knee_ibus
0.0000,0.0175,0.0175,-0.0180,20.00,0.500,nan,nan,nan,nan,nan,-0.0859,-0.0859,-0.1213,20.00,0.500,nan,nan,nan,nan,nan,0.0708,0.0708,-0.0794,20.00,0.500,nan,nan,nan,nan,nan,-0.0284,-0.0284,0.0060,20.00,0.500,nan,nan,nan,nan,nan,0.2833,0.2833,0.0165,20.00,0.500,nan,nan,nan,nan,nan,-0.2126,-0.2126,-0.0165,20.00,0.500,nan,nan,nan,nan,nan,-0.0001,-0.0001,0.0060,20.00,0.500,nan,nan,nan,nan,nan,-0.0220,-0.0220,-0.0015,20.00,0.500,nan,nan,nan,nan,nan,-0.0384,-0.0384,-0.0060,20.00,0.500,nan,nan,nan,nan,nan,0.0041,0.0041,-0.0030,20.00,0.500,nan,nan,nan,nan,nan,-0.0177,-0.0177,-0.0045,20.00,0.500,nan,nan,nan,nan,nan,0.0850,0.0850,0.0000,20.00,0.500,nan,nan,nan,nan,nan
0.0100,0.0175,0.0175,0.0180,20.00,0.500,0.020,-0.251,-0.013,23.70,-0.00,-0.0859,-0.0866,-0.0869,20.00,0.500,-0.020,0.208,-0.062,23.61,-0.00,0.0708,0.0705,-0.0060,20.00,0.500,-0.020,-0.102,-0.001,23.50,-0.01,-0.0284,-0.0284,-0.0030,20.00,0.500,-0.020,-0.100,0.002,23.81,0.00,0.2833,0.2833,0.0090,20.00,0.500,-0.020,0.037,0.008,23.72,0.00,-0.2126,-0.2127,0.0045,20.00,0.500,-0.020,-0.049,-0.008,23.57,-0.00,-0.0001,-0.0001,0.0045,20.00,0.500,-0.020,-0.010,-0.002,23.72,0.00,-0.0220,-0.0221,-0.0015,20.00,0.500,-0.020,0.118,-0.004,23.61,-0.00,-0.0384,-0.0383,0.0060,20.00,0.500,-0.020,0.009,-0.005,23.45,-0.00,0.0041,0.0037,-0.0180,20.00,0.500,-0.020,0.036,0.002,23.65,0.00,-0.0177,-0.0177,0.0075,20.00,0.500,-0.020,-0.177,0.007,23.59,0.00,0.0850,0.0850,-0.0195,20.00,0.500,-0.020,-0.026,-0.001,23.41,-0.00
0.0200,0.0175,0.0175,0.0180,20.00,0.500,0.020,-0.251,-0.013,23.70,-0.00,-0.0859,-0.0879,-0.1168,20.00,0.500,-0.020,0.208,-0.062,23.61,-0.00,0.0708,0.0711,0.0584,20.00,0.500,-0.020,-0.102,-0.001,23.50,-0.01,-0.0284,-0.0282,0.0285,20.00,0.500,-0.020,-0.100,0.002,23.81,0.00,0.2833,0.2832,0.0090,20.00,0.500,-0.020,0.037,0.008,23.72,0.00,-0.2126,-0.2127,-0.0030,20.00,0.500,-0.020,-0.049,-0.008,23.57,-0.00,-0.0001,-0.0001,0.0135,20.00,0.500,-0.020,-0.010,-0.002,23.72,0.00,-0.0219,-0.0224,-0.0270,20.00,0.500,-0.020,0.118,-0.004,23.61,-0.00,-0.0384,-0.0383,0.0030,20.00,0.500,-0.020,0.009,-0.005,23.45,-0.00,0.0041,0.0037,-0.0180,20.00,0.500,-0.020,0.036,0.002,23.65,0.00,-0.0177,-0.0176,0.0045,20.00,0.500,-0.020,-0.177,0.007,23.59,0.00,0.0851,0.0850,-0.0195,20.00,0.500,-0.020,-0.026,-0.001,23.41,-0.00
0.0300,0.0175,0.0172,-0.0135,20.00,0.500,0.020,-0.251,-0.013,23.70,-0.00,-0.0858,-0.0879,0.0090,20.00,0.500,-0.020,0.208,-0.062,23.61,-0.00,0.0708,0.0706,-0.0255,20.00,0.500,-0.020,-0.102,-0.001,23.50,-0.01,-0.0283,-0.0283,0.0090,20.00,0.500,-0.020,-0.100,0.002,23.81,0.00,0.2833,0.2832,-0.0060,20.00,0.500,-0.020,0.037,0.008,23.72,0.00,-0.2126,-0.2127,0.0000,20.00,0.500,-0.020,-0.049,-0.008,23.57,-0.00,-0.0001,-0.0001,-0.0090,20.00,0.500,-0.020,-0.010,-0.002,23.72,0.00,-0.0219,-0.0224,0.0000,20.00,0.500,-0.020,0.118,-0.004,23.61,-0.00,-0.0383,-0.0382,0.0045,20.00,0.500,-0.020,0.009,-0.005,23.45,-0.00,0.0041,0.0036,0.0090,20.00,0.500,-0.020,0.036,0.002,23.65,0.00,-0.0177,-0.0177,-0.0210,20.00,0.500,-0.020,-0.177,0.007,23.59,0.00,0.0851,0.0851,0.0150,20.00,0.500,-0.020,-0.026,-0.001,23.41,-0.00
0.0400,0.0175,0.0171,-0.0584,20.00,0.500,0.020,-0.251,-0.013,23.70,-0.00,-0.0858,-0.0883,-0.0539,20.00,0.500,-0.020,0.208,-0.062,23.61,-0.00,0.0709,0.0717,0.1124,20.00,0.500,-0.020,-0.102,-0.001,23.50,-0.01,-0.0283,-0.0283,-0.0015,20.00,0.500,-0.020,-0.100,0.002,23.81,0.00,0.2833,0.2833,0.0045,20.00,0.500,-0.020,0.037,0.008,23.72,0.00,-0.2125,-0.2127,-0.0015,20.00,0.500,-0.020,-0.049,-0.008,23.57,-0.00,-0.0001,-0.0000,0.0015,20.00,0.500,-0.020,-0.010,-0.002,23.72,0.00,-0.0219,-0.0223,0.0210,20.00,0.500,-0.020,0.118,-0.004,23.61,-0.00,-0.0383,-0.0382,0.0075,20.00,0.500,-0.020,0.009,-0.005,23.45,-0.00,0.0041,0.0036,-0.0030,20.00,0.500,-0.020,0.036,0.002,23.65,0.00,-0.0176,-0.0176,0.0075,20.00,0.500,-0.020,-0.177,0.007,23.59,0.00,0.0851,0.0850,-0.0090,20.00,0.500,-0.020,-0.026,-0.001,23.41,-0.00
0.0500,0.0175,0.0175,-0.0075,20.00,0.500,0.020,-0.251,-0.013,23.70,-0.00,-0.0858,-0.0882,0.0419,20.00,0.500,-0.020,0.208,-0.062,23.61,-0.00,0.0710,0.0709,-0.0854,20.00,0.500,-0.020,-0.102,-0.001,23.50,-0.01,-0.0283,-0.0283,0.0090,20.00,0.500,-0.020,-0.100,0.002,23.81,0.00,0.2834,0.2833,0.0060,20.00,0.500,-0.020,0.037,0.008,23.72,0.00,-0.2124,-0.2127,0.0060,20.00,0.500,-0.020,-0.049,-0.008,23.57,-0.00,-0.0001,-0.0000,0.0060,20.00,0.500,-0.020,-0.010,-0.002,23.72,0.00,-0.0218,-0.0224,-0.0015,20.00,0.500,-0.020,0.118,-0.004,23.61,-0.00,-0.0382,-0.0383,-0.0210,20.00,0.500,-0.020,0.009,-0.005,23.45,-0.00,0.0041,0.0037,-0.0045,20.00,0.500,-0.020,0.036,0.002,23.65,0.00,-0.0176,-0.0177,-0.0135,20.00,0.500,-0.020,-0.177,0.007,23.59,0.00,0.0852,0.0850,-0.0090,20.00,0.500,-0.020,-0.026,-0.001,23.41,-0.00
0.0600,0.0175,0.0176,0.0479,20.00,0.500,0.021,0.024,-0.004,23.71,-0.00,-0.0857,-0.0885,-0.0360,20.00,0.500,0.066,0.986,-0.025,23.60,-0.02,0.0711,0.0705,-0.0225,20.00,0.500,-0.091,0.257,-0.003,23.50,-0.01,-0.0283,-0.0283,-0.0015,20.00,0.500,-0.044,0.095,-0.026,23.81,-0.00,0.2835,0.2833,0.0030,20.00,0.500,-0.043,-0.129,-0.006,23.72,0.00,-0.2123,-0.2127,-0.0060,20.00,0.500,-0.040,-0.087,0.002,23.58,-0.00,-0.0001,0.0000,0.0090,20.00,0.500,-0.026,-0.087,-0.001,23.72,0.00,-0.0217,-0.0224,0.0015,20.00,0.500,-0.018,0.071,-0.006,23.61,-0.00,-0.0380,-0.0382,0.0045,20.00,0.500,-0.039,0.039,-0.006,23.43,-0.00,0.0041,0.0036,0.0000,20.00,0.500,-0.019,0.031,-0.001,23.63,-0.00,-0.0175,-0.0176,0.0015,20.00,0.500,-0.046,-0.003,0.008,23.58,-0.00,0.0854,0.0850,0.0015,20.00,0.500,-0.038,-0.017,-0.003,23.42,-0.00
0.0700,0.0175,0.0176,0.0479,20.00,0.500,0.021,0.024,-0.004,23.71,-0.00,-0.0855,-0.0882,0.0629,20.00,0.500,0.066,0.986,-0.025,23.60,-0.02,0.0713,0.0710,0.0315,20.00,0.500,-0.091,0.257,-0.003,23.50,-0.01,-0.0283,-0.0283,0.0045,20.00,0.500,-0.044,0.095,-0.026,23.81,-0.00,0.2836,0.2833,0.0075,20.00,0.500,-0.043,-0.129,-0.006,23.72,0.00,-0.2121,-0.2125,0.0240,20.00,0.500,-0.040,-0.087,0.002,23.58,-0.00,-0.0001,0.0000,0.0030,20.00,0.500,-0.026,-0.087,-0.001,23.72,0.00,-0.0216,-0.0226,-0.0060,20.00,0.500,-0.018,0.071,-0.006,23.61,-0.00,-0.0378,-0.0382,0.0045,20.00,0.500,-0.039,0.039,-0.006,23.43,-0.00,0.0041,0.0036,0.0000,20.00,0.500,-0.019,0.031,-0.001,23.63,-0.00,-0.0174,-0.0176,0.0090,20.00,0.500,-0.046,-0.003,0.008,23.58,-0.00,0.0856,0.0850,0.0015,20.00,0.500,-0.038,-0.017,-0.003,23.42,-0.00
0.0800,0.0175,0.0175,0.0120,20.00,0.500,0.021,0.024,-0.004,23.71,-0.00,-0.0854,-0.0882,0.0015,20.00,0.500,0.066,0.986,-0.025,23.60,-0.02,0.0716,0.0711,0.0165,20.00,0.500,-0.091,0.257,-0.003,23.50,-0.01,-0.0283,-0.0283,0.0120,20.00,0.500,-0.044,0.095,-0.026,23.81,-0.00,0.2837,0.2833,0.0030,20.00,0.500,-0.043,-0.129,-0.006,23.72,0.00,-0.2119,-0.2128,-0.0120,20.00,0.500,-0.040,-0.087,0.002,23.58,-0.00,-0.0000,-0.0000,-0.0015,20.00,0.500,-0.026,-0.087,-0.001,23.72,0.00,-0.0215,-0.0225,0.0045,20.00,0.500,-0.018,0.071,-0.006,23.61,-0.00,-0.0376,-0.0380,0.0345,20.00,0.500,-0.039,0.039,-0.006,23.43,-0.00,0.0041,0.0036,-0.0045,20.00,0.500,-0.019,0.031,-0.001,23.63,-0.00,-0.0172,-0.0177,-0.0195,20.00,0.500,-0.046,-0.003,0.008,23.58,-0.00,0.0858,0.0850,-0.0030,20.00,0.500,-0.038,-0.017,-0.003,23.42,-0.00
0.0900,0.0176,0.0174,0.0165,20.00,0.500,0.021,0.024,-0.004,23.71,-0.00,-0.0852,-0.0884,-0.0195,20.00,0.500,0.066,0.986,-0.025,23.60,-0.02,0.0719,0.0712,0.0479,20.00,0.500,-0.091,0.257,-0.003,23.50,-0.01,-0.0283,-0.0283,0.0195,20.00,0.500,-0.044,0.095,-0.026,23.81,-0.00,0.2839,0.2833,0.0060,20.00,0.500,-0.043,-0.129,-0.006,23.72,0.00,-0.2115,-0.2123,0.0419,20.00,0.500,-0.040,-0.087,0.002,23.58,-0.00,-0.0000,0.0000,0.0075,20.00,0.500,-0.026,-0.087,-0.001,23.72,0.00,-0.0213,-0.0225,-0.0060,20.00,0.500,-0.018,0.071,-0.006,23.61,-0.00,-0.0373,-0.0379,0.0105,20.00,0.500,-0.039,0.039,-0.006,23.43,-0.00,0.0041,0.0037,0.0105,20.00,0.500,-0.019,0.031,-0.001,23.63,-0.00,-0.0170,-0.0175,0.0150,20.00,0.500,-0.046,-0.003,0.008,23.58,-0.00,0.0861,0.0851,0.0090,20.00,0.500,-0.038,-0.017,-0.003,23.42,-0.00
